"","prior_bioemi","prior_landemi","prior_bioemi_2nd","prior_landemi_2nd","post_bioemi","post_landemi","treatment_group","treatment_positive_bioemi","treatment_positive_landemi","gap_to_true_value_bioemi","gap_to_true_value_landemi","treatment_positive_bioemi_and_landemi","confidence","coping_on_income","acceptance_alpinePV","acceptance_wind","acceptance_newnucs","acceptance_prolongnucs","trust_in_sci","left_right","gender_binary","education_group","education_numeric","urban_rural","urban_rural_numeric","urban_rural_binary","income","age","climate_salience","speeder","speeder_treatment_bioemi","speeder_treatment_landemi","attention_bioemi_yes","attention_landemi_yes","attention_check_yes"
"11",1,-3,-2,-2,1,2,"control","positive_control","positive_control",-2,-2,"positive_control",4,"No",1,1,1,1,NA,5,"female","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1958,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"12",1,-1,-3,0,1,-1,"control","positive_control","positive_control",-3,0,"positive_control",6,NA,-1,1,-1,1,NA,NA,"female","Primary education",1,"Village, farm or house in the countryside",4,"rural",NA,1926,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"13",1,-1,1,-1,0,0,"control","negative_control","positive_control",1,-1,"mixed_control",7,"No",2,-1,-1,-2,NA,3,"male","Secondary education",2,"Agglomeration or suburb of a city",3,"rural",NA,1944,"Yes",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"14",-1,2,-2,2,1,-1,"treatment","positive_treatment","negative_treatment",-2,2,"mixed_treatment",6,"No",1,1,1,-1,NA,9,"male","Secondary education",2,"Village, farm or house in the countryside",4,"rural",NA,NA,"Yes",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"15",1,2,0,0,1,2,"control","positive_control","positive_control",0,0,"positive_control",2,"No",0,0,0,0,NA,NA,"female",NA,NA,"City with more than 50,000 inhabitants",1,"urban",NA,1995,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"16",0,0,0,0,0,0,"control","positive_control","positive_control",0,0,"positive_control",10,"No",0,0,0,0,NA,NA,"male",NA,NA,"Village, farm or house in the countryside",4,"rural",NA,1925,"No",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"17",-2,1,-1,-3,1,2,"treatment","positive_treatment","positive_treatment",-1,-3,"positive_treatment",2,"Yes",3,3,2,1,NA,2,"female","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1926,"No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",2,2,-1,-3,2,3,"control","positive_control","positive_control",-1,-3,"positive_control",8,"Yes",3,2,3,1,NA,6,"male","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1998,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"19",-1,-2,-2,-2,1,1,"control","positive_control","positive_control",-2,-2,"positive_control",8,"Yes",3,3,1,-1,NA,3,"female","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1991,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"20",0,3,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",6,"Yes",0,0,0,0,NA,NA,NA,"Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,2005,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"21",0,0,0,0,0,0,"control","positive_control","positive_control",0,0,"positive_control",2,"Yes",0,0,0,0,NA,NA,"female","Postsecondary vocational",3,"City with more than 50,000 inhabitants",1,"urban",NA,2004,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"22",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",10,"Yes",0,0,0,0,NA,NA,"male","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1928,"Yes",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"23",0,-1,-1,1,0,-1,"control","positive_control","negative_control",-1,1,"mixed_control",4,"No",4,0,-2,-4,NA,4,"male","Tertiary education",4,"City with less than 50,000 inhabitants",2,"urban",NA,1991,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"24",1,3,-3,-2,2,1,"control","positive_control","positive_control",-3,-2,"positive_control",6,"No",2,4,-2,-4,NA,1,"male","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1992,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"25",2,4,-1,-3,3,4,"treatment","positive_treatment","positive_treatment",-1,-3,"positive_treatment",4,"Yes",2,4,0,-4,NA,1,"male","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1995,"No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26",-4,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",2,"No",0,2,1,3,NA,NA,NA,"Primary education",1,"City with more than 50,000 inhabitants",1,"urban",NA,1942,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"27",0,0,0,0,0,0,"control","positive_control","positive_control",0,0,"positive_control",5,"Yes",0,0,0,0,NA,6,"male","Primary education",1,"Agglomeration or suburb of a city",3,"rural",NA,1927,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"28",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",10,"Yes",0,0,0,0,NA,0,"male","Primary education",1,"City with more than 50,000 inhabitants",1,"urban",NA,1929,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"29",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",4,NA,0,0,0,0,NA,NA,"male","Secondary education",2,NA,NA,"rural",NA,NA,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"30",1,1,1,1,1,1,"control","negative_control","negative_control",1,1,"negative_control",5,NA,1,1,1,1,NA,4,"male","Tertiary education",4,NA,NA,"rural",NA,1991,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"31",0,0,-3,-3,0,0,"treatment","positive_treatment","positive_treatment",-3,-3,"positive_treatment",6,"Yes",3,3,-4,-4,NA,3,"female","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1984,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32",0,2,-3,-2,0,2,"control","positive_control","positive_control",-3,-2,"positive_control",8,"No",4,4,-4,-4,NA,0,"female","Postsecondary vocational",3,"City with less than 50,000 inhabitants",2,"urban",NA,1950,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"33",1,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",8,"No",1,1,1,0,NA,5,"female",NA,NA,"City with more than 50,000 inhabitants",1,"urban",NA,1991,"Yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"34",4,4,4,4,4,4,"treatment","negative_treatment","negative_treatment",4,4,"negative_treatment",10,"No",4,4,4,4,NA,2,NA,"Tertiary education",4,"City with less than 50,000 inhabitants",2,"urban",NA,1992,"Yes",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"35",0,0,-2,3,NA,NA,"control","positive_control","negative_control",-2,3,"mixed_control",3,"No",4,3,-4,4,NA,NA,NA,"Postsecondary vocational",3,"Agglomeration or suburb of a city",3,"rural",NA,1945,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"36",1,-1,0,1,2,-1,"treatment","positive_treatment","negative_treatment",0,1,"mixed_treatment",3,"No",4,4,1,-2,NA,NA,NA,"Secondary education",2,"City with less than 50,000 inhabitants",2,"urban",NA,1989,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"37",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",NA,"No",0,0,0,0,NA,NA,"female","Primary education",1,"Village, farm or house in the countryside",4,"rural",NA,2005,"Yes",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"38",1,2,2,2,1,1,"control","negative_control","negative_control",2,2,"negative_control",6,"No",4,4,1,-2,NA,NA,"female","Primary education",1,"City with more than 50,000 inhabitants",1,"urban",NA,2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"39",-2,2,2,-3,0,1,"treatment","negative_treatment","positive_treatment",2,-3,"mixed_treatment",6,"No",2,4,-4,-4,NA,1,NA,"Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1992,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"40",0,4,-2,-3,-4,4,"control","positive_control","positive_control",-2,-3,"positive_control",4,"Yes",4,4,-4,-4,NA,NA,NA,"Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"41",-3,2,3,-1,-1,4,"control","negative_control","positive_control",3,-1,"mixed_control",8,"No",4,4,-4,-4,NA,2,NA,"Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,2007,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"42",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",10,"Yes",0,0,0,0,NA,0,"male","Primary education",1,"City with more than 50,000 inhabitants",1,"urban",NA,2007,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"43",0,0,0,0,0,0,"control","positive_control","positive_control",0,0,"positive_control",5,"No",0,0,0,0,NA,NA,"female","Primary education",1,"City with less than 50,000 inhabitants",2,"urban",NA,2001,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"44",1,3,-3,-1,1,3,"control","positive_control","positive_control",-3,-1,"positive_control",6,"No",1,4,0,-4,NA,1,"male","Tertiary education",4,"City with more than 50,000 inhabitants",1,"urban",NA,1997,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"45",-1,4,1,1,3,3,"treatment","negative_treatment","negative_treatment",1,1,"negative_treatment",8,"Yes",4,4,3,4,7,NA,"female","Primary education",1,"Village, farm or house in the countryside",4,"rural",NA,1953,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"46",0,1,1,-2,1,1,"control","negative_control","positive_control",1,-2,"mixed_control",6,"No",1,1,1,-4,6,8,"female","Postsecondary vocational",3,"Agglomeration or suburb of a city",3,"rural",NA,1986,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"47",0,1,0,1,0,0,"treatment","positive_treatment","negative_treatment",0,1,"mixed_treatment",5,"Yes",1,1,1,4,6,5,"male","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1964,"Yes",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"48",3,4,4,1,3,4,"control","negative_control","negative_control",4,1,"negative_control",8,"No",0,-4,4,4,4,5,"male","Postsecondary vocational",3,"Village, farm or house in the countryside",4,"rural",NA,1964,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"49",0,4,1,4,3,4,"treatment","negative_treatment","negative_treatment",1,4,"negative_treatment",9,"No",4,4,-4,-4,10,5,"male","Primary education",1,"City with more than 50,000 inhabitants",1,"urban",NA,1968,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"50",0,0,-2,-3,0,0,"control","positive_control","positive_control",-2,-3,"positive_control",4,"Yes",2,2,-4,-4,8,5,"male","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1960,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"51",0,3,3,2,2,1,"control","negative_control","negative_control",3,2,"negative_control",8,"No",1,0,0,0,5,3,"male","Secondary education",2,"City with less than 50,000 inhabitants",2,"urban",NA,1957,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"52",-1,2,1,1,0,1,"treatment","negative_treatment","negative_treatment",1,1,"negative_treatment",8,"Yes",-2,1,2,-4,8,6,"male","Postsecondary vocational",3,"Agglomeration or suburb of a city",3,"rural",NA,1956,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"53",0,1,1,-1,1,1,"control","negative_control","positive_control",1,-1,"mixed_control",8,"Yes",1,1,0,-2,10,3,"male","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1950,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"54",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",4,"Yes",3,2,-4,-4,9,1,"male","Postsecondary vocational",3,"Agglomeration or suburb of a city",3,"rural",NA,1942,"No",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"55",0,0,0,0,0,0,"control","positive_control","positive_control",0,0,"positive_control",6,"No",0,0,-4,-4,9,1,"female","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1998,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"56",1,1,0,0,3,2,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",5,"No",3,-4,3,3,2,5,"male","Secondary education",2,"City with less than 50,000 inhabitants",2,"urban",NA,1967,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"57",3,3,1,1,3,3,"control","negative_control","negative_control",1,1,"negative_control",4,"Yes",3,1,-4,-4,10,2,"male","Postsecondary vocational",3,"Village, farm or house in the countryside",4,"rural",NA,1987,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"58",0,0,2,2,0,0,"treatment","negative_treatment","negative_treatment",2,2,"negative_treatment",8,"Yes",-1,-2,4,3,5,8,"male","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1964,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59",2,2,0,0,2,2,"control","positive_control","positive_control",0,0,"positive_control",8,"Yes",2,2,-1,-2,7,5,"female","Postsecondary vocational",3,"City with less than 50,000 inhabitants",2,"urban",NA,1969,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"60",0,0,3,3,2,0,"treatment","negative_treatment","negative_treatment",3,3,"negative_treatment",6,"Yes",1,1,1,-3,5,NA,"female","Secondary education",2,"Agglomeration or suburb of a city",3,"rural",NA,1963,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"61",-1,2,-1,1,-2,1,"treatment","positive_treatment","negative_treatment",-1,1,"mixed_treatment",6,"No",-1,-2,2,-1,6,10,"male","Secondary education",2,"City with less than 50,000 inhabitants",2,"urban",NA,1972,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"62",0,2,2,0,1,1,"treatment","negative_treatment","positive_treatment",2,0,"mixed_treatment",5,"No",1,2,-1,-3,9,NA,"male","Tertiary education",4,"City with less than 50,000 inhabitants",2,"urban",NA,1978,"No",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"63",0,0,0,0,0,0,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",6,"No",4,4,4,4,0,0,"female","Secondary education",2,"Village, farm or house in the countryside",4,"rural",NA,2004,"Yes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"64",1,2,0,1,3,0,"treatment","positive_treatment","negative_treatment",0,1,"mixed_treatment",8,"No",1,2,0,-1,7,4,"male","Secondary education",2,"Village, farm or house in the countryside",4,"rural",NA,1959,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"65",-1,1,1,-1,1,1,"treatment","negative_treatment","positive_treatment",1,-1,"mixed_treatment",4,"No",1,1,0,-1,9,NA,"female","Secondary education",2,"Village, farm or house in the countryside",4,"rural",NA,1998,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"66",0,-2,-2,-2,0,0,"treatment","positive_treatment","positive_treatment",-2,-2,"positive_treatment",6,"No",1,3,-1,-2,5,2,"female","Secondary education",2,"Agglomeration or suburb of a city",3,"rural",NA,2002,"No",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"67",0,0,2,-1,2,-1,"control","negative_control","positive_control",2,-1,"mixed_control",4,"Yes",-1,0,0,-1,6,5,"female","Secondary education",2,"City with less than 50,000 inhabitants",2,"urban",NA,1963,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"68",-1,0,-1,-1,0,1,"treatment","positive_treatment","positive_treatment",-1,-1,"positive_treatment",6,"Yes",1,-2,2,1,10,4,"male","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1982,"No",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"69",1,-1,1,2,0,3,"control","negative_control","negative_control",1,2,"negative_control",6,"Yes",1,2,-1,-1,7,1,"male","Secondary education",2,"Agglomeration or suburb of a city",3,"rural",NA,2002,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"70",0,0,1,2,0,0,"treatment","negative_treatment","negative_treatment",1,2,"negative_treatment",7,"No",1,1,0,-4,7,5,"male","Postsecondary vocational",3,"City with less than 50,000 inhabitants",2,"urban",NA,1958,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"71",1,-2,2,-1,1,-1,"control","negative_control","positive_control",2,-1,"mixed_control",8,"No",2,4,-4,-4,8,2,"male","Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,1960,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"72",-2,-2,-2,-1,-4,-4,"treatment","positive_treatment","positive_treatment",-2,-1,"positive_treatment",6,"No",2,-4,1,1,5,6,"female","Postsecondary vocational",3,"Agglomeration or suburb of a city",3,"rural",NA,1985,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"73",-2,0,-2,-3,0,0,"control","positive_control","positive_control",-2,-3,"positive_control",6,"No",1,-1,1,-1,4,4,"female","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1984,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"74",-4,-4,0,-4,-4,-4,"control","positive_control","positive_control",0,-4,"positive_control",10,"Yes",-4,-4,4,4,5,9,"female","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1983,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"75",-3,-2,1,3,-1,0,"treatment","negative_treatment","negative_treatment",1,3,"negative_treatment",6,"No",4,1,4,0,7,7,"male","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1997,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"76",-4,-4,0,0,0,0,"control","positive_control","positive_control",0,0,"positive_control",6,"No",-2,-1,4,4,10,5,"male","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1973,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"77",-1,0,0,-4,0,0,"treatment","positive_treatment","positive_treatment",0,-4,"positive_treatment",8,"Yes",1,2,0,-2,10,4,"male","Secondary education",2,"City with less than 50,000 inhabitants",2,"urban",NA,2001,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"78",-4,-4,4,4,4,4,"treatment","negative_treatment","negative_treatment",4,4,"negative_treatment",8,"Yes",4,2,3,1,8,7,"male","Postsecondary vocational",3,"City with more than 50,000 inhabitants",1,"urban",NA,1964,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"79",4,4,-1,-1,1,1,"treatment","positive_treatment","positive_treatment",-1,-1,"positive_treatment",8,"Yes",0,0,-3,-4,5,0,"female","Primary education",1,"Village, farm or house in the countryside",4,"rural",NA,1956,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"80",0,0,2,-3,0,0,"treatment","negative_treatment","positive_treatment",2,-3,"mixed_treatment",6,"No",-2,-3,4,4,NA,NA,NA,"Tertiary education",4,NA,NA,"rural",NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"81",1,2,1,0,2,2,"treatment","negative_treatment","positive_treatment",1,0,"mixed_treatment",8,"No",1,1,4,4,5,5,"male",NA,NA,"Village, farm or house in the countryside",4,"rural",NA,1952,"Yes",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
"82",1,2,-2,-3,1,2,"control","positive_control","positive_control",-2,-3,"positive_control",2,"Yes",2,1,-4,-4,9,2,"male","Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,1997,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"83",3,2,0,0,2,2,"treatment","positive_treatment","positive_treatment",0,0,"positive_treatment",8,"Yes",1,1,-2,-4,8,2,"male","Secondary education",2,"Agglomeration or suburb of a city",3,"rural",NA,1950,"Yes",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"84",-1,2,1,-1,2,1,"control","negative_control","positive_control",1,-1,"mixed_control",4,"No",0,1,1,1,9,6,"male","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1953,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"85",0,0,4,4,0,0,"control","negative_control","negative_control",4,4,"negative_control",8,"Yes",4,0,0,-4,6,3,"male","Secondary education",2,"Agglomeration or suburb of a city",3,"rural",NA,1956,"No",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"86",1,1,1,1,1,1,"treatment","negative_treatment","negative_treatment",1,1,"negative_treatment",5,"Yes",1,1,3,3,5,5,"male",NA,NA,"Village, farm or house in the countryside",4,"rural",NA,1964,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"87",-1,1,2,2,1,1,"treatment","negative_treatment","negative_treatment",2,2,"negative_treatment",6,"No",0,-2,1,0,8,3,"female",NA,NA,"City with less than 50,000 inhabitants",2,"urban",NA,2001,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"88",0,0,1,1,1,1,"treatment","negative_treatment","negative_treatment",1,1,"negative_treatment",6,"No",1,2,-4,-4,8,NA,"female","Postsecondary vocational",3,"Village, farm or house in the countryside",4,"rural",NA,1975,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"89",0,0,0,-4,0,-4,"control","positive_control","positive_control",0,-4,"positive_control",5,"No",3,2,3,0,4,9,"female","Secondary education",2,"Village, farm or house in the countryside",4,"rural",NA,1975,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"90",4,4,4,4,2,4,"treatment","negative_treatment","negative_treatment",4,4,"negative_treatment",10,"No",4,4,-4,-4,NA,NA,"female","Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,1961,"Yes",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"91",1,3,3,3,2,2,"treatment","negative_treatment","negative_treatment",3,3,"negative_treatment",6,"No",0,1,0,0,8,NA,"male",NA,NA,"Agglomeration or suburb of a city",3,"rural",NA,1990,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"92",1,-1,-1,1,1,1,"treatment","positive_treatment","negative_treatment",-1,1,"mixed_treatment",6,"No",-4,-1,3,3,4,9,"male","Postsecondary vocational",3,"Village, farm or house in the countryside",4,"rural",NA,1952,"Yes",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"93",0,0,0,-4,0,NA,"treatment","positive_treatment","positive_treatment",0,-4,"positive_treatment",10,"No",4,4,4,1,10,NA,"female","Tertiary education",4,"Village, farm or house in the countryside",4,"rural",NA,1993,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"94",1,2,-2,-2,-3,-2,"control","positive_control","positive_control",-2,-2,"positive_control",6,"Yes",4,1,1,0,9,5,"male","Secondary education",2,"City with more than 50,000 inhabitants",1,"urban",NA,1969,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"95",-3,-2,-1,-2,-2,-1,"control","positive_control","positive_control",-1,-2,"positive_control",6,"Yes",-3,0,-1,1,10,4,"male","Tertiary education",4,"City with less than 50,000 inhabitants",2,"urban",NA,1974,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"96",-2,2,-2,2,-2,1,"control","positive_control","negative_control",-2,2,"mixed_control",8,"No",-1,1,4,4,10,5,"male","Secondary education",2,"Village, farm or house in the countryside",4,"rural",NA,2003,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"97",-3,-3,0,-1,-1,0,"control","positive_control","positive_control",0,-1,"positive_control",4,"Yes",-1,1,-1,4,9,7,"male","Tertiary education",4,"Agglomeration or suburb of a city",3,"rural",NA,1978,"Yes",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
